Name,Age,Nationality,Overall,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Preferred Positions,Preferred Positions Type
Emilio Piodão,25,Brazil,74.0,77.0,81.0,74.0,73.0,73.0,66.0,59.0,82.0,67.0,58.0,49.0,13.0,12.0,15.0,8.0,15.0,68.0,76.0,91.0,77.0,71.0,60.0,61.0,62.0,71.0,74.0,73.0,68.0,72.0,81.0,76.0,73.0,64.0,60.0,CM CDM ,Midfielder
S. Larsson,32,Sweden,74.0,55.0,80.0,65.0,73.0,76.0,74.0,83.0,85.0,70.0,72.0,81.0,7.0,11.0,14.0,14.0,8.0,66.0,61.0,70.0,73.0,76.0,61.0,70.0,70.0,76.0,75.0,77.0,59.0,57.0,76.0,62.0,67.0,76.0,74.0,RM CM ,Midfielder
S. Carson,31,England,74.0,42.0,23.0,38.0,42.0,20.0,32.0,14.0,18.0,17.0,19.0,16.0,74.0,70.0,76.0,75.0,71.0,18.0,24.0,75.0,17.0,20.0,18.0,20.0,14.0,71.0,25.0,22.0,20.0,51.0,28.0,15.0,71.0,53.0,13.0,GK ,GoalKeeper
A. Erokhin,27,Russia,74.0,56.0,71.0,62.0,57.0,74.0,65.0,69.0,62.0,73.0,75.0,54.0,9.0,14.0,15.0,10.0,14.0,73.0,63.0,64.0,71.0,74.0,59.0,65.0,74.0,74.0,74.0,75.0,58.0,69.0,87.0,64.0,73.0,69.0,66.0,ST CAM CM ,Midfielder
G. Torje,27,Romania,74.0,83.0,66.0,84.0,91.0,77.0,67.0,73.0,78.0,78.0,65.0,79.0,14.0,9.0,15.0,11.0,12.0,62.0,35.0,71.0,63.0,76.0,29.0,73.0,68.0,78.0,67.0,75.0,35.0,81.0,71.0,38.0,45.0,60.0,66.0,RM LM ,Midfielder
S. Duffy,25,Republic of Ireland,74.0,49.0,84.0,32.0,42.0,57.0,64.0,38.0,37.0,39.0,33.0,33.0,9.0,11.0,16.0,8.0,12.0,74.0,72.0,86.0,58.0,49.0,72.0,55.0,49.0,66.0,64.0,55.0,74.0,52.0,67.0,70.0,83.0,44.0,30.0,CB ,Back
Postigo,28,Spain,74.0,61.0,78.0,55.0,50.0,59.0,65.0,28.0,30.0,48.0,46.0,26.0,13.0,13.0,7.0,7.0,10.0,69.0,73.0,78.0,58.0,34.0,77.0,40.0,30.0,67.0,64.0,60.0,74.0,64.0,62.0,74.0,83.0,29.0,42.0,CB ,Back
E. Peñarendi,33,Chile,74.0,45.0,54.0,78.0,76.0,73.0,83.0,73.0,83.0,74.0,72.0,75.0,13.0,10.0,8.0,8.0,13.0,42.0,20.0,48.0,75.0,75.0,30.0,72.0,74.0,76.0,74.0,74.0,31.0,56.0,68.0,33.0,44.0,75.0,73.0,LM CAM ,Midfielder
Edvaldisco,25,Brazil,74.0,77.0,67.0,61.0,62.0,73.0,81.0,71.0,62.0,71.0,55.0,42.0,7.0,16.0,13.0,7.0,9.0,69.0,67.0,63.0,74.0,52.0,71.0,42.0,66.0,81.0,72.0,64.0,64.0,71.0,85.0,77.0,71.0,76.0,61.0,CAM CM CDM ,Midfielder
F. Ayité,28,Togo,74.0,84.0,48.0,81.0,77.0,76.0,63.0,71.0,69.0,76.0,72.0,70.0,16.0,6.0,12.0,14.0,9.0,58.0,22.0,56.0,63.0,68.0,19.0,60.0,76.0,70.0,71.0,73.0,20.0,85.0,60.0,26.0,61.0,67.0,67.0,ST LM ,Midfielder
A. Christiansen,27,Denmark,74.0,72.0,89.0,87.0,85.0,72.0,71.0,64.0,71.0,68.0,56.0,65.0,16.0,6.0,8.0,6.0,9.0,58.0,68.0,88.0,76.0,68.0,60.0,68.0,72.0,75.0,74.0,71.0,75.0,76.0,89.0,66.0,62.0,74.0,66.0,CM ,Midfielder
G. Sakai,26,Japan,74.0,76.0,69.0,78.0,76.0,73.0,68.0,73.0,74.0,69.0,41.0,64.0,7.0,15.0,7.0,8.0,13.0,60.0,69.0,72.0,69.0,43.0,73.0,49.0,58.0,72.0,72.0,62.0,80.0,75.0,78.0,70.0,65.0,60.0,39.0,CDM RB ,Back
R. Brégerie,30,France,74.0,56.0,76.0,41.0,38.0,55.0,67.0,34.0,55.0,46.0,35.0,58.0,9.0,11.0,13.0,10.0,14.0,83.0,66.0,64.0,61.0,38.0,71.0,65.0,33.0,68.0,63.0,34.0,70.0,63.0,65.0,74.0,89.0,51.0,14.0,CB ,Back
Vasco Fernandes,30,Portugal,74.0,68.0,79.0,66.0,70.0,68.0,69.0,63.0,58.0,61.0,27.0,48.0,16.0,9.0,11.0,12.0,11.0,72.0,72.0,90.0,58.0,49.0,72.0,38.0,43.0,68.0,61.0,59.0,73.0,64.0,90.0,77.0,74.0,54.0,49.0,RB CB ,Back
Diogo Figueiras,26,Portugal,74.0,83.0,77.0,84.0,90.0,77.0,64.0,78.0,56.0,73.0,41.0,43.0,13.0,12.0,16.0,7.0,16.0,57.0,70.0,83.0,66.0,69.0,71.0,48.0,68.0,67.0,71.0,77.0,75.0,82.0,74.0,71.0,59.0,63.0,47.0,RB ,Back
D. Accam,26,Ghana,74.0,94.0,69.0,87.0,78.0,66.0,68.0,70.0,74.0,77.0,68.0,67.0,14.0,10.0,15.0,11.0,10.0,45.0,55.0,56.0,42.0,65.0,25.0,64.0,73.0,66.0,64.0,79.0,49.0,94.0,69.0,53.0,57.0,76.0,62.0,LM LW ,Forward
A. El Ghazi,22,Netherlands,74.0,76.0,55.0,67.0,52.0,75.0,69.0,76.0,75.0,80.0,72.0,73.0,13.0,9.0,7.0,14.0,11.0,75.0,28.0,56.0,54.0,78.0,20.0,63.0,74.0,70.0,64.0,84.0,15.0,82.0,72.0,28.0,77.0,67.0,70.0,RW ,Forward
E. Triverio,28,Argentina,74.0,70.0,44.0,75.0,58.0,73.0,70.0,43.0,56.0,69.0,74.0,73.0,8.0,11.0,16.0,9.0,10.0,76.0,36.0,80.0,40.0,73.0,24.0,71.0,78.0,75.0,55.0,76.0,27.0,74.0,76.0,22.0,77.0,59.0,68.0,ST ,Forward
B. Rasaldo,33,Chile,74.0,77.0,34.0,77.0,71.0,72.0,67.0,75.0,77.0,77.0,61.0,76.0,9.0,9.0,8.0,8.0,16.0,68.0,45.0,45.0,74.0,62.0,31.0,76.0,75.0,74.0,75.0,63.0,22.0,72.0,66.0,23.0,71.0,76.0,64.0,LM CAM ,Midfielder
M. Villanueva,24,Venezuela,74.0,34.0,77.0,29.0,30.0,61.0,68.0,53.0,29.0,36.0,27.0,47.0,13.0,6.0,13.0,5.0,12.0,69.0,74.0,70.0,58.0,43.0,72.0,38.0,28.0,62.0,66.0,66.0,71.0,53.0,58.0,78.0,89.0,29.0,25.0,CB ,Back
C. Ünder,19,Turkey,74.0,83.0,27.0,80.0,84.0,75.0,68.0,75.0,71.0,76.0,68.0,45.0,9.0,13.0,7.0,9.0,8.0,58.0,29.0,48.0,61.0,74.0,24.0,64.0,66.0,71.0,71.0,77.0,30.0,79.0,67.0,33.0,58.0,68.0,64.0,LM RM ,Midfielder
Thiago Mendes,25,Brazil,74.0,75.0,75.0,78.0,73.0,74.0,66.0,67.0,58.0,75.0,61.0,73.0,14.0,9.0,12.0,13.0,8.0,59.0,74.0,66.0,69.0,77.0,72.0,60.0,70.0,69.0,74.0,80.0,74.0,86.0,84.0,72.0,58.0,70.0,60.0,RB CM CDM ,Midfielder
P. Barrientos,32,Argentina,74.0,64.0,65.0,77.0,76.0,77.0,79.0,75.0,83.0,78.0,60.0,77.0,6.0,14.0,14.0,9.0,9.0,63.0,37.0,55.0,73.0,74.0,27.0,75.0,63.0,71.0,77.0,74.0,31.0,63.0,54.0,31.0,57.0,80.0,71.0,LM CM CAM ,Midfielder
Filipe Augusto,23,Brazil,74.0,67.0,72.0,71.0,67.0,78.0,79.0,66.0,63.0,75.0,54.0,62.0,8.0,10.0,8.0,12.0,14.0,60.0,70.0,65.0,76.0,65.0,60.0,68.0,63.0,74.0,74.0,74.0,59.0,69.0,75.0,68.0,70.0,74.0,54.0,CDM CM ,Midfielder
P. Capelle,30,France,74.0,74.0,68.0,79.0,67.0,76.0,64.0,75.0,72.0,76.0,68.0,77.0,9.0,12.0,16.0,9.0,16.0,55.0,74.0,61.0,70.0,77.0,64.0,63.0,75.0,75.0,74.0,72.0,64.0,74.0,72.0,68.0,63.0,72.0,79.0,LW LM RW CM ,Midfielder
H. Rodallega,31,Colombia,74.0,75.0,54.0,76.0,75.0,74.0,74.0,69.0,74.0,75.0,72.0,71.0,6.0,8.0,8.0,8.0,9.0,72.0,44.0,87.0,60.0,71.0,28.0,73.0,71.0,73.0,69.0,73.0,33.0,75.0,77.0,38.0,73.0,69.0,70.0,ST ,Forward
A. Epureanu,30,Moldova,74.0,57.0,70.0,36.0,36.0,61.0,53.0,39.0,39.0,56.0,49.0,52.0,12.0,12.0,12.0,8.0,7.0,82.0,74.0,32.0,59.0,41.0,74.0,51.0,53.0,71.0,66.0,71.0,72.0,50.0,63.0,77.0,87.0,41.0,65.0,CB ,Back
M. Caraglio,28,Argentina,74.0,65.0,73.0,63.0,54.0,72.0,75.0,64.0,55.0,70.0,74.0,47.0,14.0,10.0,6.0,8.0,12.0,80.0,25.0,80.0,55.0,71.0,22.0,75.0,74.0,70.0,65.0,78.0,18.0,51.0,63.0,19.0,83.0,58.0,73.0,ST ,Forward
B. Dja Djédjé,26,Ivory Coast,74.0,76.0,83.0,76.0,87.0,75.0,65.0,69.0,56.0,70.0,58.0,47.0,7.0,7.0,14.0,14.0,8.0,58.0,72.0,67.0,66.0,53.0,70.0,58.0,68.0,74.0,76.0,72.0,72.0,79.0,75.0,75.0,72.0,68.0,31.0,RB ,Back
Paulinho,22,Brazil,74.0,75.0,33.0,84.0,93.0,74.0,76.0,66.0,67.0,73.0,69.0,68.0,12.0,14.0,14.0,11.0,8.0,47.0,27.0,71.0,69.0,67.0,20.0,59.0,78.0,64.0,77.0,60.0,16.0,71.0,70.0,25.0,31.0,70.0,64.0,LW CM CAM ,Midfielder
Maurício António,25,Brazil,74.0,66.0,78.0,46.0,56.0,50.0,45.0,35.0,30.0,46.0,27.0,29.0,10.0,9.0,14.0,6.0,15.0,76.0,74.0,85.0,65.0,22.0,73.0,43.0,23.0,73.0,66.0,45.0,71.0,64.0,62.0,74.0,78.0,32.0,30.0,CB ,Back
C. Gordon,34,Scotland,74.0,35.0,38.0,57.0,51.0,25.0,48.0,13.0,15.0,11.0,14.0,13.0,72.0,71.0,72.0,70.0,76.0,15.0,26.0,71.0,27.0,14.0,12.0,22.0,16.0,75.0,31.0,23.0,13.0,35.0,25.0,15.0,66.0,67.0,15.0,GK ,GoalKeeper
A. Costa,32,Argentina,74.0,64.0,69.0,73.0,78.0,77.0,73.0,68.0,74.0,70.0,59.0,78.0,12.0,16.0,7.0,14.0,7.0,72.0,71.0,58.0,76.0,78.0,63.0,74.0,68.0,74.0,77.0,80.0,66.0,62.0,54.0,71.0,68.0,76.0,65.0,CDM CM ,Midfielder
Nélson Oliveira,25,Portugal,74.0,68.0,74.0,72.0,69.0,75.0,77.0,60.0,65.0,69.0,76.0,47.0,8.0,7.0,7.0,7.0,10.0,74.0,36.0,71.0,55.0,72.0,33.0,76.0,74.0,67.0,68.0,77.0,29.0,73.0,70.0,40.0,77.0,65.0,67.0,ST ,Forward
Eraso,27,Spain,74.0,63.0,82.0,52.0,59.0,71.0,80.0,64.0,53.0,68.0,74.0,59.0,10.0,15.0,9.0,9.0,14.0,54.0,67.0,73.0,76.0,67.0,49.0,53.0,81.0,84.0,80.0,70.0,57.0,64.0,86.0,64.0,67.0,68.0,59.0,CDM CAM ,Midfielder
M. Konaté,24,Senegal,74.0,90.0,37.0,81.0,70.0,72.0,68.0,60.0,46.0,72.0,74.0,37.0,6.0,9.0,9.0,10.0,10.0,75.0,24.0,85.0,36.0,56.0,15.0,72.0,71.0,78.0,62.0,72.0,15.0,90.0,71.0,17.0,70.0,56.0,60.0,ST ,Forward
W. Barrios,23,Colombia,74.0,66.0,82.0,67.0,67.0,65.0,68.0,59.0,31.0,58.0,30.0,31.0,13.0,14.0,13.0,15.0,16.0,59.0,78.0,83.0,65.0,39.0,75.0,32.0,60.0,73.0,70.0,53.0,70.0,61.0,90.0,76.0,70.0,65.0,22.0,CM CDM ,Midfielder
Perdigão,25,Brazil,74.0,77.0,58.0,71.0,68.0,75.0,76.0,74.0,69.0,78.0,68.0,42.0,7.0,9.0,13.0,14.0,10.0,46.0,20.0,45.0,62.0,72.0,20.0,61.0,76.0,72.0,74.0,75.0,26.0,74.0,81.0,30.0,64.0,66.0,64.0,RW ,Forward
A. Costa,31,Italy,74.0,68.0,72.0,66.0,60.0,62.0,69.0,48.0,59.0,58.0,27.0,27.0,8.0,9.0,7.0,11.0,13.0,68.0,78.0,84.0,54.0,37.0,76.0,37.0,35.0,70.0,58.0,62.0,74.0,68.0,68.0,78.0,72.0,34.0,22.0,CB ,Back
N. Rigoni,26,Italy,74.0,54.0,70.0,58.0,63.0,75.0,75.0,61.0,64.0,71.0,46.0,61.0,4.0,10.0,13.0,6.0,13.0,67.0,73.0,67.0,76.0,69.0,58.0,51.0,61.0,71.0,78.0,61.0,64.0,66.0,78.0,68.0,77.0,71.0,51.0,CDM CM ,Midfielder
V. Gabulov,33,Russia,74.0,58.0,37.0,50.0,53.0,24.0,48.0,19.0,20.0,14.0,13.0,11.0,71.0,73.0,76.0,77.0,72.0,12.0,22.0,69.0,20.0,12.0,11.0,18.0,18.0,74.0,29.0,16.0,17.0,55.0,38.0,11.0,70.0,47.0,13.0,GK ,GoalKeeper
I. Kahveci,21,Turkey,74.0,78.0,65.0,81.0,79.0,77.0,73.0,70.0,79.0,79.0,67.0,74.0,13.0,14.0,15.0,15.0,10.0,55.0,45.0,58.0,73.0,65.0,30.0,60.0,68.0,67.0,74.0,76.0,45.0,78.0,72.0,55.0,60.0,73.0,64.0,LM CAM ,Midfielder
Sebas Couteira,29,Brazil,74.0,81.0,46.0,64.0,70.0,76.0,71.0,76.0,67.0,74.0,70.0,76.0,15.0,13.0,12.0,10.0,9.0,54.0,38.0,67.0,59.0,52.0,39.0,57.0,74.0,74.0,76.0,52.0,41.0,77.0,48.0,52.0,52.0,73.0,67.0,RM CAM ,Midfielder
Miguel Rosa,28,Portugal,74.0,70.0,71.0,76.0,74.0,76.0,73.0,76.0,81.0,75.0,71.0,72.0,6.0,13.0,6.0,13.0,16.0,69.0,48.0,60.0,74.0,77.0,30.0,59.0,68.0,75.0,76.0,79.0,34.0,63.0,71.0,41.0,62.0,74.0,66.0,ST LM ,Midfielder
Walace,22,Brazil,74.0,68.0,80.0,61.0,66.0,71.0,68.0,48.0,55.0,67.0,58.0,52.0,10.0,13.0,7.0,14.0,11.0,60.0,76.0,57.0,75.0,28.0,76.0,60.0,55.0,69.0,74.0,78.0,67.0,68.0,66.0,73.0,76.0,62.0,76.0,CM CDM ,Midfielder
Albentosa,28,Spain,74.0,32.0,84.0,37.0,28.0,54.0,65.0,41.0,32.0,32.0,51.0,45.0,12.0,15.0,11.0,12.0,11.0,72.0,73.0,68.0,62.0,31.0,73.0,42.0,30.0,70.0,63.0,54.0,64.0,37.0,65.0,78.0,92.0,42.0,66.0,CB ,Back
M. Locatelli,19,Italy,74.0,64.0,68.0,67.0,54.0,79.0,66.0,66.0,64.0,75.0,54.0,60.0,11.0,12.0,11.0,10.0,15.0,68.0,75.0,59.0,72.0,72.0,64.0,60.0,54.0,66.0,78.0,76.0,68.0,68.0,78.0,72.0,65.0,75.0,64.0,CDM ,Midfielder
V. Vasin,28,Russia,74.0,69.0,77.0,37.0,43.0,63.0,66.0,51.0,72.0,33.0,30.0,62.0,11.0,6.0,6.0,13.0,7.0,72.0,76.0,65.0,64.0,36.0,76.0,68.0,20.0,69.0,62.0,71.0,72.0,66.0,71.0,75.0,80.0,51.0,38.0,CB ,Back
C. Obasi,31,Nigeria,74.0,68.0,65.0,77.0,57.0,76.0,62.0,73.0,69.0,79.0,73.0,68.0,7.0,10.0,12.0,11.0,13.0,68.0,48.0,70.0,59.0,71.0,28.0,66.0,74.0,75.0,70.0,76.0,33.0,71.0,62.0,40.0,72.0,60.0,72.0,ST ,Forward
D. Percidino,33,Chile,74.0,83.0,39.0,86.0,90.0,74.0,74.0,71.0,73.0,75.0,64.0,69.0,11.0,9.0,7.0,7.0,9.0,42.0,36.0,66.0,60.0,56.0,31.0,68.0,72.0,80.0,75.0,59.0,33.0,75.0,68.0,24.0,33.0,74.0,74.0,RM ,Midfielder
C. Despredal,33,Chile,74.0,81.0,45.0,72.0,70.0,71.0,66.0,74.0,83.0,77.0,61.0,75.0,8.0,14.0,9.0,9.0,12.0,51.0,45.0,55.0,61.0,62.0,23.0,71.0,76.0,77.0,72.0,57.0,22.0,71.0,66.0,21.0,67.0,77.0,55.0,LM RM ,Midfielder
Kauã Abranches,33,Brazil,74.0,88.0,49.0,81.0,75.0,73.0,68.0,72.0,49.0,72.0,64.0,60.0,8.0,10.0,12.0,20.0,19.0,43.0,66.0,53.0,58.0,66.0,55.0,53.0,77.0,81.0,70.0,63.0,57.0,82.0,76.0,58.0,60.0,71.0,58.0,RB RM CAM ,Midfielder
H. Seferovi?,25,Switzerland,74.0,65.0,80.0,64.0,59.0,72.0,69.0,67.0,60.0,71.0,71.0,62.0,9.0,13.0,9.0,9.0,16.0,76.0,35.0,75.0,59.0,71.0,25.0,66.0,74.0,72.0,69.0,77.0,40.0,73.0,76.0,42.0,83.0,65.0,73.0,ST ,Forward
Z. Gera,38,Hungary,74.0,51.0,61.0,69.0,66.0,81.0,71.0,80.0,77.0,77.0,69.0,82.0,14.0,12.0,12.0,7.0,9.0,71.0,67.0,72.0,68.0,74.0,53.0,74.0,70.0,69.0,80.0,77.0,68.0,48.0,67.0,58.0,66.0,75.0,81.0,CAM CM ,Midfielder
Chema Rodríguez,25,Spain,74.0,70.0,77.0,65.0,63.0,62.0,65.0,48.0,32.0,50.0,52.0,32.0,15.0,11.0,6.0,14.0,12.0,73.0,74.0,82.0,64.0,56.0,74.0,46.0,25.0,66.0,66.0,65.0,76.0,68.0,67.0,74.0,77.0,54.0,54.0,CB ,Back
C. Ninga,24,Chad,74.0,87.0,69.0,73.0,59.0,69.0,67.0,66.0,65.0,74.0,75.0,53.0,6.0,11.0,9.0,15.0,9.0,63.0,24.0,78.0,55.0,72.0,20.0,72.0,72.0,71.0,62.0,79.0,23.0,89.0,84.0,25.0,79.0,59.0,75.0,LM ST ,Forward
R. Sobhi,20,Egypt,74.0,77.0,54.0,73.0,67.0,79.0,75.0,70.0,63.0,79.0,60.0,63.0,12.0,13.0,15.0,12.0,10.0,59.0,33.0,51.0,64.0,65.0,43.0,65.0,73.0,63.0,76.0,62.0,46.0,74.0,72.0,44.0,68.0,74.0,61.0,RM LM ,Midfielder
T. Bifouma,25,Congo,74.0,92.0,64.0,91.0,73.0,74.0,62.0,63.0,50.0,74.0,72.0,45.0,14.0,12.0,12.0,10.0,9.0,60.0,34.0,90.0,47.0,64.0,17.0,56.0,71.0,72.0,62.0,85.0,19.0,94.0,67.0,23.0,71.0,38.0,64.0,ST ,Forward
A. Masina,23,Italy,74.0,72.0,66.0,66.0,45.0,69.0,72.0,78.0,64.0,68.0,26.0,35.0,14.0,14.0,13.0,7.0,6.0,68.0,72.0,64.0,68.0,41.0,66.0,31.0,58.0,66.0,68.0,59.0,74.0,82.0,88.0,74.0,79.0,58.0,37.0,LB ,Back
D. Schwaab,28,Germany,74.0,66.0,67.0,63.0,59.0,70.0,69.0,62.0,55.0,59.0,32.0,37.0,10.0,10.0,15.0,9.0,6.0,73.0,76.0,69.0,65.0,29.0,75.0,55.0,46.0,73.0,73.0,54.0,75.0,72.0,72.0,74.0,68.0,59.0,49.0,CB ,Back
V. Bessat,31,France,74.0,75.0,62.0,76.0,74.0,75.0,71.0,79.0,54.0,75.0,58.0,57.0,6.0,16.0,10.0,12.0,9.0,53.0,46.0,73.0,75.0,71.0,71.0,58.0,70.0,76.0,75.0,67.0,69.0,72.0,64.0,72.0,70.0,74.0,62.0,LB LM ,Midfielder
M. Ostrzolek,27,Germany,74.0,77.0,74.0,77.0,77.0,74.0,69.0,71.0,57.0,70.0,36.0,47.0,12.0,8.0,14.0,9.0,14.0,60.0,64.0,67.0,64.0,43.0,75.0,60.0,56.0,74.0,69.0,66.0,77.0,74.0,78.0,76.0,65.0,56.0,49.0,CDM LB ,Back
A. Naranjeda,33,Chile,74.0,76.0,61.0,71.0,81.0,75.0,76.0,75.0,79.0,75.0,72.0,76.0,18.0,16.0,13.0,15.0,15.0,77.0,22.0,74.0,64.0,77.0,24.0,65.0,72.0,70.0,73.0,72.0,22.0,69.0,72.0,24.0,64.0,76.0,61.0,LM ,Midfielder
Nicolás Formido,29,Brazil,74.0,75.0,54.0,77.0,62.0,75.0,72.0,74.0,81.0,74.0,57.0,76.0,9.0,8.0,8.0,7.0,12.0,71.0,54.0,56.0,73.0,75.0,33.0,69.0,73.0,78.0,75.0,71.0,21.0,67.0,67.0,29.0,74.0,75.0,55.0,CM LM CAM ,Midfielder
E. Cerutti,25,Argentina,74.0,92.0,73.0,85.0,74.0,74.0,73.0,66.0,63.0,77.0,61.0,51.0,10.0,12.0,10.0,14.0,8.0,64.0,34.0,72.0,65.0,71.0,18.0,69.0,69.0,70.0,72.0,68.0,18.0,88.0,76.0,17.0,59.0,70.0,65.0,ST RM ,Midfielder
Pablo Hernández,32,Spain,74.0,72.0,54.0,79.0,81.0,80.0,78.0,76.0,80.0,78.0,66.0,77.0,13.0,16.0,9.0,9.0,7.0,53.0,43.0,67.0,69.0,74.0,40.0,72.0,68.0,65.0,70.0,74.0,35.0,70.0,65.0,41.0,56.0,78.0,64.0,RM LM CAM ,Midfielder
J. Johansson,27,Sweden,74.0,56.0,74.0,50.0,48.0,69.0,76.0,46.0,55.0,65.0,59.0,42.0,7.0,11.0,15.0,9.0,13.0,66.0,74.0,43.0,70.0,68.0,66.0,44.0,67.0,71.0,74.0,74.0,65.0,55.0,87.0,80.0,86.0,68.0,59.0,CM CDM ,Midfielder
A. Semenov,28,Russia,74.0,55.0,55.0,43.0,54.0,70.0,66.0,50.0,33.0,55.0,36.0,36.0,11.0,8.0,16.0,7.0,15.0,63.0,75.0,78.0,70.0,35.0,72.0,51.0,26.0,70.0,76.0,55.0,75.0,52.0,75.0,81.0,81.0,34.0,37.0,CB ,Back
R. De Paul,23,Argentina,74.0,70.0,56.0,76.0,69.0,79.0,66.0,76.0,80.0,81.0,67.0,60.0,13.0,12.0,10.0,7.0,14.0,43.0,28.0,58.0,71.0,77.0,38.0,56.0,64.0,66.0,78.0,78.0,43.0,69.0,63.0,46.0,66.0,70.0,47.0,LM CAM RW ,Forward
Kuca,27,Cape Verde,74.0,83.0,57.0,78.0,71.0,75.0,74.0,65.0,66.0,78.0,68.0,41.0,14.0,11.0,7.0,14.0,8.0,69.0,20.0,55.0,65.0,67.0,22.0,71.0,69.0,70.0,69.0,71.0,21.0,86.0,76.0,15.0,53.0,69.0,53.0,RM LM ,Midfielder
Ramalho,24,Spain,74.0,70.0,74.0,66.0,58.0,54.0,66.0,59.0,57.0,48.0,40.0,34.0,12.0,10.0,8.0,15.0,16.0,70.0,68.0,82.0,52.0,34.0,75.0,41.0,39.0,62.0,65.0,22.0,79.0,77.0,66.0,77.0,76.0,44.0,44.0,RB CB ,Back
Kléber,27,Brazil,74.0,64.0,70.0,67.0,55.0,76.0,80.0,61.0,71.0,74.0,75.0,45.0,10.0,16.0,13.0,9.0,15.0,75.0,27.0,73.0,63.0,66.0,22.0,76.0,75.0,71.0,68.0,73.0,28.0,52.0,70.0,34.0,81.0,66.0,72.0,ST ,Forward
Ewerton,28,Brazil,74.0,54.0,66.0,54.0,60.0,64.0,72.0,48.0,37.0,58.0,30.0,40.0,7.0,9.0,7.0,13.0,14.0,73.0,77.0,82.0,52.0,32.0,71.0,47.0,30.0,67.0,67.0,53.0,73.0,63.0,60.0,75.0,76.0,55.0,49.0,CB ,Back
J. Gustaldo,25,Chile,74.0,53.0,52.0,67.0,58.0,73.0,74.0,42.0,63.0,63.0,73.0,52.0,10.0,10.0,18.0,10.0,13.0,76.0,20.0,62.0,53.0,72.0,12.0,76.0,74.0,67.0,71.0,86.0,10.0,56.0,60.0,18.0,88.0,65.0,77.0,ST ,Forward
C. Bovo,34,Italy,74.0,38.0,71.0,59.0,55.0,64.0,73.0,35.0,78.0,60.0,23.0,80.0,9.0,10.0,10.0,7.0,14.0,68.0,79.0,71.0,70.0,80.0,77.0,70.0,33.0,69.0,66.0,84.0,74.0,55.0,56.0,76.0,75.0,34.0,30.0,CB ,Back
Dani Pacheco,26,Spain,74.0,75.0,48.0,88.0,90.0,82.0,61.0,63.0,83.0,80.0,69.0,80.0,12.0,8.0,10.0,13.0,12.0,47.0,33.0,78.0,71.0,68.0,26.0,69.0,61.0,70.0,74.0,59.0,23.0,74.0,74.0,28.0,58.0,72.0,62.0,LM ,Midfielder
D. Aogo,30,Germany,74.0,68.0,75.0,73.0,65.0,74.0,72.0,77.0,79.0,74.0,40.0,78.0,7.0,10.0,16.0,16.0,6.0,68.0,74.0,71.0,73.0,66.0,75.0,65.0,67.0,72.0,75.0,74.0,74.0,68.0,75.0,73.0,76.0,70.0,65.0,CDM LB ,Back
M. Meñarez,25,Chile,74.0,82.0,44.0,81.0,77.0,71.0,77.0,61.0,55.0,73.0,74.0,56.0,7.0,7.0,9.0,8.0,10.0,73.0,44.0,56.0,52.0,71.0,23.0,72.0,71.0,77.0,61.0,70.0,24.0,83.0,59.0,25.0,66.0,55.0,76.0,CF ST ,Forward
S. Ristovski,25,FYR Macedonia,74.0,85.0,69.0,77.0,75.0,72.0,73.0,67.0,68.0,74.0,58.0,34.0,6.0,12.0,6.0,9.0,8.0,63.0,73.0,75.0,68.0,68.0,68.0,47.0,59.0,74.0,70.0,67.0,75.0,78.0,84.0,72.0,72.0,48.0,48.0,RM RB ,Back
Rafael,27,Brazil,74.0,52.0,29.0,52.0,42.0,24.0,62.0,18.0,12.0,17.0,10.0,11.0,75.0,73.0,71.0,73.0,74.0,13.0,29.0,62.0,31.0,18.0,19.0,23.0,10.0,68.0,33.0,24.0,17.0,56.0,32.0,11.0,68.0,43.0,18.0,GK ,GoalKeeper
Sérgio Oliveira,25,Portugal,74.0,62.0,51.0,66.0,67.0,77.0,76.0,76.0,75.0,76.0,66.0,80.0,9.0,9.0,11.0,11.0,10.0,53.0,57.0,46.0,75.0,83.0,42.0,74.0,72.0,73.0,77.0,84.0,44.0,64.0,52.0,57.0,60.0,77.0,72.0,CDM CM ,Midfielder
Diego,29,Brazil,74.0,72.0,55.0,79.0,76.0,75.0,70.0,75.0,76.0,75.0,73.0,78.0,9.0,12.0,15.0,8.0,8.0,57.0,46.0,55.0,72.0,71.0,46.0,68.0,67.0,68.0,75.0,78.0,39.0,75.0,64.0,48.0,65.0,75.0,63.0,LM ,Midfielder
O. Dramé,24,France,74.0,94.0,72.0,91.0,84.0,75.0,66.0,64.0,55.0,81.0,68.0,69.0,12.0,10.0,14.0,14.0,7.0,59.0,36.0,70.0,48.0,56.0,27.0,60.0,69.0,75.0,68.0,65.0,40.0,90.0,69.0,44.0,57.0,65.0,60.0,LW ,Forward
